element,configuration,r_squared,intercept,slope,n
Al,"Dry, WS 1 x 15 mm",0.8678860494271925,1296.936125831023,0.44236389415800664,15
Al,"Dry, WS 10 x 15 mm",0.8926213918172019,1075.352319992113,0.47588665812519987,15
Al,"Wet, WS 1 x 15 mm",0.9051737981472519,780.4444131368338,0.23721063957682506,15
Al,"Wet, WS 10 x 15 mm",0.9454666435616974,1125.7800247635896,0.27326038590375207,15
Ba,"Dry, WS 1 x 15 mm",0.535097991779323,216.47347711393482,-0.39900710714101356,5
Ba,"Dry, WS 10 x 15 mm",1,18.795094091080166,0.011021201856730601,2
Ba,"Wet, WS 1 x 15 mm",0.15547905436853382,135.2186642667326,-0.2003704092324525,5
Ba,"Wet, WS 10 x 15 mm",1,34.66465311755112,-0.07918705306736923,2
Ca,"Dry, WS 1 x 15 mm",0.9511785663728273,3163.9124085480694,0.37204409616429723,14
Ca,"Dry, WS 10 x 15 mm",0.9775210378418758,2585.5199552883582,0.39110494393964285,14
Ca,"Wet, WS 1 x 15 mm",0.8127229780113518,93.73608393494247,0.26040810254787866,14
Ca,"Wet, WS 10 x 15 mm",0.9224112683807763,3404.8616712211806,0.25282827635611316,14
Cr,"Dry, WS 1 x 15 mm",1.304299782737529e-4,192.47331475471864,-0.0035417978051568615,11
Cr,"Dry, WS 10 x 15 mm",0.5751291987108412,44.50376056547547,0.21480025140129458,11
Cr,"Wet, WS 1 x 15 mm",0.014190249223238636,141.73158294685572,-0.02432982231929922,11
Cr,"Wet, WS 10 x 15 mm",0.8892747220375039,21.12607126400362,0.19716989182753664,11
Cu,"Dry, WS 1 x 15 mm",0.8273761625146498,68.37648015807801,0.5199364847718383,8
Cu,"Dry, WS 10 x 15 mm",0.9550744880642449,0.7500291346027954,0.3849436986713055,8
Cu,"Wet, WS 1 x 15 mm",0.569105202342265,53.44426947848154,0.23068736375495993,8
Cu,"Wet, WS 10 x 15 mm",0.891144577638784,2.3780698912855613,0.2645553881309715,8
Fe,"Dry, WS 1 x 15 mm",0.7601312640706371,1913.3986874163184,0.32341791500014355,16
Fe,"Dry, WS 10 x 15 mm",0.7269167266454866,2049.958129952487,0.3056330705528974,16
Fe,"Wet, WS 1 x 15 mm",0.5225646264585564,1829.7729855862112,0.1577212699287245,16
Fe,"Wet, WS 10 x 15 mm",0.5057921161258826,1782.7985010536,0.15419881921614534,16
K,"Dry, WS 1 x 15 mm",0.9334567250490716,-630.2668458263796,0.4420171059390086,8
K,"Dry, WS 10 x 15 mm",0.963603126781066,-309.5525828475043,0.4283865713187002,10
K,"Wet, WS 1 x 15 mm",0.8743957825513224,-349.3344743115651,0.2720518214610075,8
K,"Wet, WS 10 x 15 mm",0.9332474144069,-143.83382570524424,0.27191912764665793,10
Mg,"Dry, WS 1 x 15 mm",0.980360217032621,-2884.914780045307,0.5659584652713945,12
Mg,"Dry, WS 10 x 15 mm",0.9952931867865901,-1331.6858090040134,0.4938838812288787,10
Mg,"Wet, WS 1 x 15 mm",0.9758909521395422,-1467.7857025559551,0.30602791573875965,12
Mg,"Wet, WS 10 x 15 mm",0.9929801882165267,-720.3038649201038,0.3337343147883545,12
Mn,"Dry, WS 1 x 15 mm",0.8969704145989716,-6.7339120967560255,0.4070345249482369,13
Mn,"Dry, WS 10 x 15 mm",0.8994794328288506,-27.547004707142335,0.36961521086051646,13
Mn,"Wet, WS 1 x 15 mm",0.8948171874114353,17.122283072429674,0.20030086372368028,13
Mn,"Wet, WS 10 x 15 mm",0.9022612498271743,-0.9083668901016981,0.1970317590068088,13
P,"Dry, WS 1 x 15 mm",0.9997965749400272,9.540176512589255,0.24414163969693084,4
P,"Dry, WS 10 x 15 mm",0.9998474667967673,8.268573134070152,0.2529073533801909,4
P,"Wet, WS 1 x 15 mm",0.9961496851919758,29.120495573422602,0.07796167325267267,8
P,"Wet, WS 10 x 15 mm",0.9999879523453843,16.37069970134263,0.10319544488928051,3
Pb,"Dry, WS 1 x 15 mm",0.7052749469413349,26.347986497952533,0.41789852577907083,11
Pb,"Dry, WS 10 x 15 mm",0.9465241743289226,2.4402696245458566,0.3782062246053891,11
Pb,"Wet, WS 1 x 15 mm",0.7037647609837927,21.045067896622342,0.2377292729458883,11
Pb,"Wet, WS 10 x 15 mm",0.9487274020012544,2.148794175989766,0.24159732883709795,11
S,"Dry, WS 1 x 15 mm",1,136802.17482638883,-0.41704665798611085,2
S,"Dry, WS 10 x 15 mm",0.9555769991772579,1159.8633251000085,0.448933722582404,3
S,"Wet, WS 1 x 15 mm",1,172957.8569791665,-0.9156035156249991,2
S,"Wet, WS 10 x 15 mm",0.9866692599212712,501.8118771319145,0.3249782957568981,3
Si,"Dry, WS 1 x 15 mm",0.949896382428746,-3310.560241635197,0.45775171670343456,11
Si,"Dry, WS 10 x 15 mm",0.9644487608370159,-2335.6046598593166,0.4541289150040615,11
Si,"Wet, WS 1 x 15 mm",0.7728234638727949,2609.884803833539,0.17971399890064912,11
Si,"Wet, WS 10 x 15 mm",0.9719513009285223,1347.8072001917744,0.24380028672737644,11
Sr,"Dry, WS 1 x 15 mm",0.7881188345939298,85.12672272516441,0.3043734230208993,10
Sr,"Dry, WS 10 x 15 mm",0.7730575334869487,83.55815228541263,0.28065346265182484,10
Sr,"Wet, WS 1 x 15 mm",0.50980488528950485,88.29336510924695,0.1419365234521804,10
Sr,"Wet, WS 10 x 15 mm",0.6746611140333363,61.372514505148985,0.14940198383032677,10
Ti,"Dry, WS 1 x 15 mm",0.5346232513882888,140.1257870642555,0.2593743861006031,8
Ti,"Dry, WS 10 x 15 mm",0.6105979779773044,126.6605305050601,0.23817485427573104,9
Ti,"Wet, WS 1 x 15 mm",0.3961970359904423,114.82187569983594,0.10864131932851014,8
Ti,"Wet, WS 10 x 15 mm",0.6158141134702918,40.563681561793224,0.2017026321571891,9
U,"Dry, WS 1 x 15 mm",0.8131841691307913,15.489793418502865,0.8946469264060823,6
U,"Dry, WS 10 x 15 mm",0.6146470011370526,12.094158438237645,0.3863827028253492,6
U,"Wet, WS 1 x 15 mm",0.9269116065718457,7.269345115661565,0.7219804341923134,6
U,"Wet, WS 10 x 15 mm",0.8069802752881716,6.978099869245617,0.3469806326275639,6
V,"Dry, WS 1 x 15 mm",0.43134131118810903,312.38145894414845,0.5600326811475886,12
V,"Dry, WS 10 x 15 mm",0.8607821016905547,29.784517009863084,0.31594569592870547,12
V,"Wet, WS 1 x 15 mm",0.008489489160501903,253.07096034455827,0.03857417034190981,12
V,"Wet, WS 10 x 15 mm",0.9136544236439993,16.65447390277374,0.2560688460030611,12
Zn,"Dry, WS 1 x 15 mm",0.887743475513568,-0.34065976612191634,0.3337504071161035,13
Zn,"Dry, WS 10 x 15 mm",0.9519668543048422,-11.134576189386443,0.3958258095462617,13
Zn,"Wet, WS 1 x 15 mm",0.7915437149660849,-2.660447574095766,0.2420836299006023,13
Zn,"Wet, WS 10 x 15 mm",0.8842304664077683,-11.191326647195764,0.30864399196576353,13
Zr,"Dry, WS 1 x 15 mm",0.9947830458478258,-49.97589264105681,0.3137728168670109,7
Zr,"Dry, WS 10 x 15 mm",0.9948868919030224,-47.628197784069854,0.29724479821611466,7
Zr,"Wet, WS 1 x 15 mm",0.9954896954945107,-16.939149398358147,0.15593101619682934,7
Zr,"Wet, WS 10 x 15 mm",0.995313105135554,-21.571642975980158,0.1627167647564135,7
