standard_ID,element,measured_conc,standard_conc,configuration
Aragonite ST SEV 565-85,Al,258.7033333333333,582,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Ca,148063.8,392370,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Fe,489.6333333333333,909,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,K,110.09333333333333,307,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Mg,27.616666666666667,664,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,P,18.256666666666664,13,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,S,78.78999999999999,460,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Si,1135.335,2992,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Sr,699.805,0.28,"Dry, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Zn,5.441666666666666,20.6,"Dry, WS 10 x 15 mm"
Carbonatite,Al,1210.9333333333334,2169,"Dry, WS 10 x 15 mm"
Carbonatite,Ba,22.211666666666666,310,"Dry, WS 10 x 15 mm"
Carbonatite,Ca,135130.575,355705,"Dry, WS 10 x 15 mm"
Carbonatite,Cr,95.05666666666666,35,"Dry, WS 10 x 15 mm"
Carbonatite,Cu,7.203333333333333,10,"Dry, WS 10 x 15 mm"
Carbonatite,Fe,3984.8816666666667,22025,"Dry, WS 10 x 15 mm"
Carbonatite,K,46.080000000000005,249,"Dry, WS 10 x 15 mm"
Carbonatite,Mg,3828.5333333333333,11880,"Dry, WS 10 x 15 mm"
Carbonatite,P,2276.9333333333334,8969,"Dry, WS 10 x 15 mm"
Carbonatite,Pb,9.695,20,"Dry, WS 10 x 15 mm"
Carbonatite,Si,6910.106666666667,14398,"Dry, WS 10 x 15 mm"
Carbonatite,Sr,464.62666666666667,1600,"Dry, WS 10 x 15 mm"
Carbonatite,Ti,100.92833333333333,2997,"Dry, WS 10 x 15 mm"
Carbonatite,V,9.27,27,"Dry, WS 10 x 15 mm"
Carbonatite,Zn,4.668333333333333,25,"Dry, WS 10 x 15 mm"
Carbonatite,Zr,9.548333333333334,87,"Dry, WS 10 x 15 mm"
IAEA-158A,Al,25918.22333333333,52200,"Dry, WS 10 x 15 mm"
IAEA-158A,Ca,30856.960000000003,65300,"Dry, WS 10 x 15 mm"
IAEA-158A,Cr,95.25333333333333,77,"Dry, WS 10 x 15 mm"
IAEA-158A,Fe,9667.716666666667,26600,"Dry, WS 10 x 15 mm"
IAEA-158A,Mg,4785.86,10860,"Dry, WS 10 x 15 mm"
IAEA-158A,Mn,107.93,367,"Dry, WS 10 x 15 mm"
IAEA-158A,Pb,18.403333333333332,41,"Dry, WS 10 x 15 mm"
IAEA-158A,Sr,144.42333333333332,478,"Dry, WS 10 x 15 mm"
IAEA-158A,U,20.39,38.1522222222222,"Dry, WS 10 x 15 mm"
IAEA-158A,V,41.473333333333336,74.1,"Dry, WS 10 x 15 mm"
IAEA-158A,Zn,35.766666666666666,141,"Dry, WS 10 x 15 mm"
IAEA-158A,Zr,66.31666666666666,1031,"Dry, WS 10 x 15 mm"
