standard_ID,element,measured_conc,standard_conc,configuration,measured_ca,standard_ca,measured_ratio,standard_ratio,measured_ratio_log,standard_ratio_log,ratio_id_log
Aragonite ST SEV 565-85,Fe,489.6333333333333,909,"Dry, WS 10 x 15 mm",148063.8,392370,0.003306907787949069,0.002316690878507531,-5.711741729269319,-6.0676154569738285,log(Fe/Ca)
Aragonite ST SEV 565-85,K,110.09333333333332,307,"Dry, WS 10 x 15 mm",148063.8,392370,7.435533420953219e-4,7.82424752147208e-4,-7.20407005005746,-7.1531128035641105,log(K/Ca)
Aragonite ST SEV 565-85,Mg,27.616666666666667,664,"Dry, WS 10 x 15 mm",148063.8,392370,1.8651869441866728e-4,0.0016922802456864694,-8.586979085734116,-6.381678401674874,log(Mg/Ca)
Aragonite ST SEV 565-85,P,18.256666666666664,13,"Dry, WS 10 x 15 mm",148063.8,392370,1.233027023936078e-4,3.313199276193389e-5,-9.000868230811058,-10.31501119368977,log(P/Ca)
Aragonite ST SEV 565-85,S,78.78999999999999,19,"Dry, WS 10 x 15 mm",148063.8,392370,5.32135471330602e-4,4.84236817289803e-5,-7.5386124556809815,-9.935521571984868,log(S/Ca)
Aragonite ST SEV 565-85,Si,1135.335,2992,"Dry, WS 10 x 15 mm",148063.8,392370,0.007667876955744754,0.007625455564900477,-4.8707155003874805,-4.87626321205694,log(Si/Ca)
Aragonite ST SEV 565-85,Sr,699.805,0.28,"Dry, WS 10 x 15 mm",148063.8,392370,0.004726374711441959,7.136121517954992e-7,-5.354596816131973,-14.152926226964196,log(Sr/Ca)
Aragonite ST SEV 565-85,Zn,5.441666666666666,20.6,"Dry, WS 10 x 15 mm",148063.8,392370,3.675217485075128e-5,5.2501465453526014e-5,-10.211313154444193,-9.854669475355772,log(Zn/Ca)
Carbonatite,Al,1210.9333333333334,4100,"Dry, WS 10 x 15 mm",135130.575,355706,0.008961209062666486,0.011526372903465221,-4.714850121069143,-4.463117573249197,log(Al/Ca)
Carbonatite,Ba,22.211666666666662,310,"Dry, WS 10 x 15 mm",135130.575,355706,1.64371880062426e-4,8.715062439205411e-4,-8.713379135821194,-7.045287528462405,log(Ba/Ca)
Carbonatite,Cr,95.05666666666666,35,"Dry, WS 10 x 15 mm",135130.575,355706,7.034430710197647e-4,9.839586624909335e-5,-7.259523607186344,-9.226511764452182,log(Cr/Ca)
Carbonatite,Cu,7.203333333333333,10,"Dry, WS 10 x 15 mm",135130.575,355706,5.330646549334473e-5,2.81131046425981e-5,-9.83945293033409,-10.47927473294755,log(Cu/Ca)
Carbonatite,Fe,3984.881666666666,22342.6,"Dry, WS 10 x 15 mm",135130.575,355706,0.029489119443668953,0.06281198517877123,-3.5237339160897703,-2.7676093769211967,log(Fe/Ca)
