standard_ID,element,measured_conc,standard_conc,configuration
Aragonite ST SEV 565-85,Al,727.0333333333333,582,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Ca,137918.65166666667,392370,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Fe,618.1883333333333,909,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Mg,195.16666666666666,664,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,P,24.056666666666665,13,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Si,1010.0433333333334,2992,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Sr,723.2966666666667,0.28,"Dry, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Zn,25.52166666666667,20.6,"Dry, WS 1 x 15 mm"
Carbonatite,Al,1656.6599999999999,2169,"Dry, WS 1 x 15 mm"
Carbonatite,Ba,202.93,310,"Dry, WS 1 x 15 mm"
Carbonatite,Ca,126768.475,355705,"Dry, WS 1 x 15 mm"
Carbonatite,Cr,285.34,35,"Dry, WS 1 x 15 mm"
Carbonatite,Cu,96.96833333333333,10,"Dry, WS 1 x 15 mm"
Carbonatite,Fe,4413.778333333333,22025,"Dry, WS 1 x 15 mm"
Carbonatite,Mg,1396.845,11880,"Dry, WS 1 x 15 mm"
Carbonatite,P,2199.6349999999998,8969,"Dry, WS 1 x 15 mm"
Carbonatite,Pb,46.696666666666665,20,"Dry, WS 1 x 15 mm"
Carbonatite,Si,6499.4349999999995,14398,"Dry, WS 1 x 15 mm"
Carbonatite,Sr,477.435,1600,"Dry, WS 1 x 15 mm"
Carbonatite,Ti,16.261666666666667,2997,"Dry, WS 1 x 15 mm"
Carbonatite,V,401.31666666666666,27,"Dry, WS 1 x 15 mm"
Carbonatite,Zn,23.203333333333333,25,"Dry, WS 1 x 15 mm"
Carbonatite,Zr,10.040000000000001,87,"Dry, WS 1 x 15 mm"
IAEA-158A,Al,24116.97333333333,52200,"Dry, WS 1 x 15 mm"
IAEA-158A,Ca,29782.49,65300,"Dry, WS 1 x 15 mm"
