standard_ID,element,measured_conc,standard_conc,configuration
Aragonite ST SEV 565-85,Ca,99298.27833333334,392370,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Fe,288.18,909,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,K,70.41333333333334,307,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Mg,46.208333333333336,664,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,P,19.561666666666667,13,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,S,148.82333333333332,19,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Si,1049.9166666666667,2992,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Sr,481.185,0.28,"Wet, WS 10 x 15 mm"
Aragonite ST SEV 565-85,Zn,5.298333333333333,20.6,"Wet, WS 10 x 15 mm"
Carbonatite,Al,484.38,4100,"Wet, WS 10 x 15 mm"
Carbonatite,Ba,10.116666666666667,310,"Wet, WS 10 x 15 mm"
Carbonatite,Ca,74441.74666666667,355706,"Wet, WS 10 x 15 mm"
Carbonatite,Cr,27.29,35,"Wet, WS 10 x 15 mm"
Carbonatite,Cu,5.04,10,"Wet, WS 10 x 15 mm"
Carbonatite,Fe,1617.0866666666666,22342.6,"Wet, WS 10 x 15 mm"
Carbonatite,K,49.821666666666665,249,"Wet, WS 10 x 15 mm"
Carbonatite,Mg,1525.78,11881,"Wet, WS 10 x 15 mm"
Carbonatite,Mn,166.57833333333335,1394,"Wet, WS 10 x 15 mm"
Carbonatite,P,941.9333333333334,8946,"Wet, WS 10 x 15 mm"
Carbonatite,Pb,6.3149999999999995,20,"Wet, WS 10 x 15 mm"
Carbonatite,Si,3511.455,14399,"Wet, WS 10 x 15 mm"
Carbonatite,Sr,247.00666666666666,1600,"Wet, WS 10 x 15 mm"
Carbonatite,Ti,49.586666666666666,300,"Wet, WS 10 x 15 mm"
Carbonatite,V,2.831666666666667,27,"Wet, WS 10 x 15 mm"
Carbonatite,Zn,3.5833333333333335,25,"Wet, WS 10 x 15 mm"
Carbonatite,Zr,5.925,87,"Wet, WS 10 x 15 mm"
IAEA-158A,Ca,19658.42,65300,"Wet, WS 10 x 15 mm"
IAEA-158A,Cr,53.64333333333333,77,"Wet, WS 10 x 15 mm"
IAEA-158A,Fe,6371.866666666667,26600,"Wet, WS 10 x 15 mm"
IAEA-158A,K,4897.86,20500,"Wet, WS 10 x 15 mm"
IAEA-158A,Mg,2846.01,10860,"Wet, WS 10 x 15 mm"
IAEA-158A,Mn,63.87,367,"Wet, WS 10 x 15 mm"
IAEA-158A,Pb,12.633333333333333,41,"Wet, WS 10 x 15 mm"
IAEA-158A,Sr,99.60000000000001,478,"Wet, WS 10 x 15 mm"
IAEA-158A,U,15.153333333333332,194,"Wet, WS 10 x 15 mm"
IAEA-158A,V,33.64,74.1,"Wet, WS 10 x 15 mm"
