standard_ID,element,measured_conc,standard_conc,configuration,measured_ca,standard_ca,measured_ratio,standard_ratio,measured_ratio_log,standard_ratio_log,ratio_id_log
Aragonite ST SEV 565-85,Fe,288.18,909,"Wet, WS 10 x 15 mm",99298.27833333334,392370,0.002902165121459726,0.002316690878507531,-5.842298226945274,-6.0676154569738285,log(Fe/Ca)
Aragonite ST SEV 565-85,K,70.41333333333334,307,"Wet, WS 10 x 15 mm",99298.27833333334,392370,7.091093069807673e-4,7.82424752147208e-4,-7.251500872679439,-7.1531128035641105,log(K/Ca)
Aragonite ST SEV 565-85,Mg,46.208333333333336,664,"Wet, WS 10 x 15 mm",99298.27833333334,392370,4.653487865944369e-4,0.0016922802456864694,-7.672723354847641,-6.381678401674874,log(Mg/Ca)
Aragonite ST SEV 565-85,P,19.561666666666667,13,"Wet, WS 10 x 15 mm",99298.27833333334,392370,1.9699905169554216e-4,3.313199276193389e-5,-8.532311642966084,-10.31501119368977,log(P/Ca)
Aragonite ST SEV 565-85,S,148.82333333333332,19,"Wet, WS 10 x 15 mm",99298.27833333334,392370,0.0014987503895460288,4.84236817289803e-5,-6.503123591708636,-9.935521571984868,log(S/Ca)
Aragonite ST SEV 565-85,Si,1049.9166666666667,2992,"Wet, WS 10 x 15 mm",99298.27833333334,392370,0.010573362240402725,0.007625455564900477,-4.549417436927432,-4.87626321205694,log(Si/Ca)
Aragonite ST SEV 565-85,Sr,481.185,0.28,"Wet, WS 10 x 15 mm",99298.27833333334,392370,0.004845854410332424,7.136121517954992e-7,-5.329631700305223,-14.152926226964196,log(Sr/Ca)
Aragonite ST SEV 565-85,Zn,5.298333333333333,20.6,"Wet, WS 10 x 15 mm",99298.27833333334,392370,5.33577562699266e-5,5.2501465453526014e-5,-9.838491206155405,-9.854669475355772,log(Zn/Ca)
Carbonatite,Al,484.38,4100,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.006506832814777227,0.011526372903465221,-5.0349024519333385,-4.463117573249197,log(Al/Ca)
Carbonatite,Ba,10.116666666666667,310,"Wet, WS 10 x 15 mm",74441.74666666667,355706,1.3590044725799913e-4,8.715062439205411e-4,-8.903587945730921,-7.045287528462405,log(Ba/Ca)
Carbonatite,Cr,27.29,35,"Wet, WS 10 x 15 mm",74441.74666666667,355706,3.6659537453088596e-4,9.839586624909335e-5,-7.911251839848071,-9.226511764452182,log(Cr/Ca)
Carbonatite,Cu,5.04,10,"Wet, WS 10 x 15 mm",74441.74666666667,355706,6.770394604747766e-5,2.81131046425981e-5,-9.600366092485041,-10.47927473294755,log(Cu/Ca)
Carbonatite,Fe,1617.0866666666666,22342.6,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.02172284691152688,0.06281198517877123,-3.8293907192310352,-2.7676093769211967,log(Fe/Ca)
Carbonatite,K,49.821666666666665,249,"Wet, WS 10 x 15 mm",74441.74666666667,355706,6.692705222213127e-4,7.000163056006927e-4,-7.309322211526954,-7.2644069294768885,log(K/Ca)
Carbonatite,Mg,1525.78,11881,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.020496295000063582,0.0334011796258708,-3.8875111408759326,-3.399164061483309,log(Mg/Ca)
Carbonatite,Mn,166.57833333333335,1394,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.002237700494579117,0.003918966787178175,-6.102306505313881,-5.541927234621127,log(Mn/Ca)
Carbonatite,P,941.9333333333334,8946,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.01265329436117476,0.02514998341326826,-4.36983767390472,-3.682898041948803,log(P/Ca)
Carbonatite,Pb,6.3149999999999995,20,"Wet, WS 10 x 15 mm",74441.74666666667,355706,8.483143239877408e-5,5.62262092851962e-5,-9.374844418765864,-9.786127552387605,log(Pb/Ca)
Carbonatite,Si,3511.455,14399,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.04717050791034636,0.040480059374877,-3.053986414087665,-3.206945787233326,log(Si/Ca)
Carbonatite,Sr,247.00666666666663,1600,"Wet, WS 10 x 15 mm",74441.74666666667,355706,0.0033181202447157333,0.004498096742815696,-5.708356847751273,-5.404100917713723,log(Sr/Ca)
Carbonatite,Ti,49.586666666666666,300,"Wet, WS 10 x 15 mm",74441.74666666667,355706,6.661136914036227e-4,8.43393139277943e-4,-7.314050194179559,-7.078077351285395,log(Ti/Ca)
Carbonatite,V,2.831666666666667,27,"Wet, WS 10 x 15 mm",74441.74666666667,355706,3.8038691909611295e-5,7.590538253501487e-5,-10.176906708112533,-9.486022959937268,log(V/Ca)
Carbonatite,Zn,3.5833333333333335,25,"Wet, WS 10 x 15 mm",74441.74666666667,355706,4.813607275200958e-5,7.028276160649525e-5,-9.941478708662755,-9.562984001073396,log(Zn/Ca)
Carbonatite,Zr,5.925,87,"Wet, WS 10 x 15 mm",74441.74666666667,355706,7.959243657367164e-5,2.4458401039060347e-4,-9.438591487547123,-8.315951707287013,log(Zr/Ca)
IAEA-158A,Cr,53.64333333333333,77,"Wet, WS 10 x 15 mm",19658.42,65300,0.0027287713525976824,0.0011791730474732007,-5.9039038250834865,-6.742941893410839,log(Cr/Ca)
IAEA-158A,Fe,6371.866666666667,26600,"Wet, WS 10 x 15 mm",19658.42,65300,0.3241291348270445,0.40735068912710565,-1.1266132783144511,-0.898080820494732,log(Fe/Ca)
IAEA-158A,K,4897.86,20500,"Wet, WS 10 x 15 mm",19658.42,65300,0.24914820214442462,0.31393568147013784,-1.3897073702373124,-1.1585671501380228,log(K/Ca)
IAEA-158A,Mg,2846.01,10860,"Wet, WS 10 x 15 mm",19658.42,65300,0.14477307942347353,0.1663093415007657,-1.932587731898712,-1.793905721776596,log(Mg/Ca)
IAEA-158A,Mn,63.87,367,"Wet, WS 10 x 15 mm",19658.42,65300,0.0032489894915257687,0.005620214395099541,-5.729411256672282,-5.181385467209952,log(Mn/Ca)
IAEA-158A,Pb,12.633333333333333,41,"Wet, WS 10 x 15 mm",19658.42,65300,6.42642355455491e-4,6.278713629402756e-4,-7.349922200825509,-7.373175248560215,log(Pb/Ca)
IAEA-158A,Sr,99.6,478,"Wet, WS 10 x 15 mm",19658.42,65300,0.0050665312878654545,0.007320061255742726,-5.2850988596552275,-4.917136582773066,log(Sr/Ca)
IAEA-158A,U,15.153333333333332,194,"Wet, WS 10 x 15 mm",19658.42,65300,7.708317012930507e-4,0.0029709035222052066,-7.168040494489492,-5.818889156201195,log(U/Ca)
IAEA-158A,V,33.64,74.1,"Wet, WS 10 x 15 mm",19658.42,65300,0.0017112260293553603,0.001134762633996937,-6.3705451891410325,-6.781331782962481,log(V/Ca)
