standard_ID,element,measured_conc,standard_conc,configuration
Aragonite ST SEV 565-85,Ca,128353.19499999999,392370,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Fe,584.545,909,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,K,1.9100000000000001,307,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Mg,258.76666666666665,664,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,P,23.310000000000002,13,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Si,849.5216666666666,2992,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Sr,651.8149999999999,0.28,"Wet, WS 1 x 15 mm"
Aragonite ST SEV 565-85,Zn,24.341666666666665,20.6,"Wet, WS 1 x 15 mm"
Carbonatite,Al,710.9283333333333,4100,"Wet, WS 1 x 15 mm"
Carbonatite,Ba,211.73833333333334,310,"Wet, WS 1 x 15 mm"
Carbonatite,Ca,71900.53,355706,"Wet, WS 1 x 15 mm"
Carbonatite,Cr,186.66,35,"Wet, WS 1 x 15 mm"
Carbonatite,Cu,88.91333333333333,10,"Wet, WS 1 x 15 mm"
Carbonatite,Fe,2133.6949999999997,22342.6,"Wet, WS 1 x 15 mm"
Carbonatite,Mg,277.8066666666667,11881,"Wet, WS 1 x 15 mm"
Carbonatite,Mn,206.57833333333332,1394,"Wet, WS 1 x 15 mm"
Carbonatite,P,728.5366666666666,8946,"Wet, WS 1 x 15 mm"
Carbonatite,Pb,30.543333333333333,20,"Wet, WS 1 x 15 mm"
Carbonatite,Si,2463.5516666666667,14399,"Wet, WS 1 x 15 mm"
Carbonatite,Sr,276.24333333333334,1600,"Wet, WS 1 x 15 mm"
Carbonatite,Ti,14.76,300,"Wet, WS 1 x 15 mm"
Carbonatite,V,288.07,27,"Wet, WS 1 x 15 mm"
Carbonatite,Zn,16.06833333333333,25,"Wet, WS 1 x 15 mm"
Carbonatite,Zr,8.723333333333333,87,"Wet, WS 1 x 15 mm"
IAEA-158A,Ba,14.566666666666666,1031,"Wet, WS 1 x 15 mm"
IAEA-158A,Ca,20695.496666666666,65300,"Wet, WS 1 x 15 mm"
IAEA-158A,Cr,161.77,77,"Wet, WS 1 x 15 mm"
IAEA-158A,Fe,7239.953333333333,26600,"Wet, WS 1 x 15 mm"
IAEA-158A,K,5171.073333333333,20500,"Wet, WS 1 x 15 mm"
