standard_ID,element,measured_conc,standard_conc,configuration,measured_ca,standard_ca,measured_ratio,standard_ratio,measured_ratio_log,standard_ratio_log,ratio_id_log
Aragonite ST SEV 565-85,Fe,584.545,909,"Wet, WS 1 x 15 mm",128353.195,392370,0.0045541912688655695,0.002316690878507531,-5.391707312032504,-6.0676154569738285,log(Fe/Ca)
Aragonite ST SEV 565-85,K,1.91,307,"Wet, WS 1 x 15 mm",128353.195,392370,1.488081383560417e-5,7.82424752147208e-4,-11.11543783680198,-7.1531128035641105,log(K/Ca)
Aragonite ST SEV 565-85,Mg,258.76666666666665,664,"Wet, WS 1 x 15 mm",128353.195,392370,0.002016051619647385,0.0016922802456864694,-6.206614324116995,-6.381678401674874,log(Mg/Ca)
Aragonite ST SEV 565-85,P,23.31,13,"Wet, WS 1 x 15 mm",128353.195,392370,1.816082568104362e-4,3.313199276193389e-5,-8.613658625812855,-10.31501119368977,log(P/Ca)
Aragonite ST SEV 565-85,Si,849.5216666666666,2992,"Wet, WS 1 x 15 mm",128353.195,392370,0.006618625010983689,0.007625455564900477,-5.0178676328746485,-4.87626321205694,log(Si/Ca)
Aragonite ST SEV 565-85,Sr,651.8149999999999,0.28,"Wet, WS 1 x 15 mm",128353.195,392370,0.005078291973955147,7.136121517954992e-7,-5.2827802995276265,-14.152926226964196,log(Sr/Ca)
Aragonite ST SEV 565-85,Zn,24.341666666666665,20.6,"Wet, WS 1 x 15 mm",128353.195,392370,1.8964597388219798e-4,5.2501465453526014e-5,-8.570351519254825,-9.854669475355772,log(Zn/Ca)
Carbonatite,Al,710.9283333333333,4100,"Wet, WS 1 x 15 mm",71900.53,355706,0.009887664713088114,0.011526372903465221,-4.616467287307715,-4.463117573249197,log(Al/Ca)
Carbonatite,Ba,211.73833333333337,310,"Wet, WS 1 x 15 mm",71900.53,355706,0.002944878616796474,8.715062439205411e-4,-5.827687679435498,-7.045287528462405,log(Ba/Ca)
Carbonatite,Cr,186.66,35,"Wet, WS 1 x 15 mm",71900.53,355706,0.0025960865657040358,9.839586624909335e-5,-5.953750134893465,-9.226511764452182,log(Cr/Ca)
Carbonatite,Cu,88.91333333333333,10,"Wet, WS 1 x 15 mm",71900.53,355706,0.0012366158265221874,2.81131046425981e-5,-6.695376802504927,-10.47927473294755,log(Cu/Ca)
Carbonatite,Fe,2133.6949999999997,22342.6,"Wet, WS 1 x 15 mm",71900.53,355706,0.029675650513285502,0.06281198517877123,-3.5174284174702106,-2.7676093769211967,log(Fe/Ca)
