replication,standard_ID,element,concentration,error
standard,Aragonite ST SEV 565-85,Mg,664,
standard,Aragonite ST SEV 565-85,U,,
standard,Aragonite ST SEV 565-85,Pb,,
standard,Aragonite ST SEV 565-85,Ba,,
standard,Aragonite ST SEV 565-85,Zr,,
standard,Aragonite ST SEV 565-85,Sr,0.28,
standard,Aragonite ST SEV 565-85,Zn,20.6,
standard,Aragonite ST SEV 565-85,Cu,,
standard,Aragonite ST SEV 565-85,Fe,909,
standard,Aragonite ST SEV 565-85,Mn,,
standard,Aragonite ST SEV 565-85,Cr,,
standard,Aragonite ST SEV 565-85,V,,
standard,Aragonite ST SEV 565-85,Ti,,
standard,Aragonite ST SEV 565-85,Ca,392370,
standard,Aragonite ST SEV 565-85,K,307,
standard,Aragonite ST SEV 565-85,S,19,
standard,Aragonite ST SEV 565-85,P,13,
standard,Aragonite ST SEV 565-85,Si,2992,
standard,Aragonite ST SEV 565-85,Al,,
standard,Carbonatite,Mg,11881,
standard,Carbonatite,U,,
standard,Carbonatite,Pb,20,
standard,Carbonatite,Ba,310,
standard,Carbonatite,Zr,87,
standard,Carbonatite,Sr,1600,
standard,Carbonatite,Zn,25,
standard,Carbonatite,Cu,10,
standard,Carbonatite,Fe,22342.6,
standard,Carbonatite,Mn,1394,
standard,Carbonatite,Cr,35,
standard,Carbonatite,V,27,
standard,Carbonatite,Ti,300,
standard,Carbonatite,Ca,355706,
standard,Carbonatite,K,249,
standard,Carbonatite,S,500,
standard,Carbonatite,P,8946,
standard,Carbonatite,Si,14399,
standard,Carbonatite,Al,4100,
standard,IAEA-158A,Mg,10860,580
standard,IAEA-158A,U,194,27
standard,IAEA-158A,Pb,41,5.2
standard,IAEA-158A,Ba,1031,83
standard,IAEA-158A,Zr,,
standard,IAEA-158A,Sr,478,54
standard,IAEA-158A,Zn,141,18
standard,IAEA-158A,Cu,,
standard,IAEA-158A,Fe,26600.000,1200
standard,IAEA-158A,Mn,367,19
standard,IAEA-158A,Cr,77,8.2
standard,IAEA-158A,V,74.1,5.2
standard,IAEA-158A,Ti,,
standard,IAEA-158A,Ca,65300,2800
standard,IAEA-158A,K,20500,1500
standard,IAEA-158A,S,,
standard,IAEA-158A,P,,
standard,IAEA-158A,Si,,
standard,IAEA-158A,Al,,
standard,IAEA-456,Mg,,
standard,IAEA-456,U,,
standard,IAEA-456,Pb,33.4,2.1
standard,IAEA-456,Ba,,
standard,IAEA-456,Zr,,
standard,IAEA-456,Sr,,
standard,IAEA-456,Zn,203,9
standard,IAEA-456,Cu,44.6,2.4
standard,IAEA-456,Fe,49.5,2.4
standard,IAEA-456,Mn,825,52
standard,IAEA-456,Cr,589,42
standard,IAEA-456,V,223,16
standard,IAEA-456,Ti,,
standard,IAEA-456,Ca,,
standard,IAEA-456,K,,
standard,IAEA-456,S,,
standard,IAEA-456,P,,
standard,IAEA-456,Si,,
standard,IAEA-456,Al,,
standard,IAEA-457,Mg,,
standard,IAEA-457,U,,
standard,IAEA-457,Pb,105,7
standard,IAEA-457,Ba,,
standard,IAEA-457,Zr,,
standard,IAEA-457,Sr,137,10
standard,IAEA-457,Zn,425,25.8
standard,IAEA-457,Cu,365,19
standard,IAEA-457,Fe,41450,2240
standard,IAEA-457,Mn,427,30
standard,IAEA-457,Cr,144,8
standard,IAEA-457,V,87.4,8.1
standard,IAEA-457,Ti,,
standard,IAEA-457,Ca,,
standard,IAEA-457,K,,
standard,IAEA-457,S,,
standard,IAEA-457,P,,
standard,IAEA-457,Si,,
standard,IAEA-457,Al,,
standard,IAEA-458,Mg,,
standard,IAEA-458,U,,
standard,IAEA-458,Pb,35.5,0.2
standard,IAEA-458,Ba,,
standard,IAEA-458,Zr,,
standard,IAEA-458,Sr,124,6
standard,IAEA-458,Zn,154,7
standard,IAEA-458,Cu,48.1,3.1
standard,IAEA-458,Fe,40700,2000
standard,IAEA-458,Mn,886,38
standard,IAEA-458,Cr,91.5,8.6
standard,IAEA-458,V,99.8,9.6
standard,IAEA-458,Ti,,
standard,IAEA-458,Ca,,
standard,IAEA-458,K,,
standard,IAEA-458,S,,
standard,IAEA-458,P,,
standard,IAEA-458,Si,,
standard,IAEA-458,Al,,
standard,IAEA-461,Mg,,
standard,IAEA-461,U,,
standard,IAEA-461,Pb,25.8,1.7
standard,IAEA-461,Ba,,
standard,IAEA-461,Zr,,
standard,IAEA-461,Sr,,
standard,IAEA-461,Zn,156,11
standard,IAEA-461,Cu,26.1,2
standard,IAEA-461,Fe,2600,220
standard,IAEA-461,Mn,333,20
standard,IAEA-461,Cr,27,2.4
standard,IAEA-461,V,6.86,0.67
standard,IAEA-461,Ti,,
standard,IAEA-461,Ca,9270,900
standard,IAEA-461,K,,
standard,IAEA-461,S,,
standard,IAEA-461,P,,
standard,IAEA-461,Si,,
standard,IAEA-461,Al,,
standard,IAEA-470,Mg,3080,390
standard,IAEA-470,U,,
standard,IAEA-470,Pb,0.361,0.053
standard,IAEA-470,Ba,,
standard,IAEA-470,Zr,,
standard,IAEA-470,Sr,20.6,1.6
standard,IAEA-470,Zn,727,48
standard,IAEA-470,Cu,146,13
standard,IAEA-470,Fe,131,12
standard,IAEA-470,Mn,67,5
standard,IAEA-470,Cr,0.97,0.11
standard,IAEA-470,V,0.9,0.13
